cy_id,Days above 18,Days below 15,Days above 25,Days below -2,Days with $\geq 1$ hour above 18,Days below with max temp below 15,Averaged temperature distance,Averaged temp difference above 18,Averaged temp difference below 15,Hourly temperature variation,Annual average temperature,Daily temperature variation,Monthly temperature variation,Hottest temperature,Coldest temperature,# consecutive days above 20,# consecutive days below 0,cluster,is_centroid,selected
2065_AWCM_SP126,66.0,236.0,4.0,1.0,130.0,192.0,6.386735349315068,7.144253549086758,1.4615746986301368,6.903060922602887,11.536414047945206,6.497125416491809,6.175857161600657,34.4872,-5.59516,9,3,2,False,False
2066_AWCM_SP126,63.0,231.0,1.0,13.0,124.0,179.0,6.208239155251141,7.074283819634703,1.3623051815068492,6.983574640779506,11.516371207762557,6.596813863373423,6.257730632990658,31.90336,-7.63082,13,23,3,False,False
2067_AWCM_SP126,86.0,217.0,2.0,0.0,155.0,164.0,5.517819424657534,5.953214574200913,1.6469908424657531,6.238587033659998,12.776162260273972,5.814459177880697,5.300262917746768,32.9812,-1.85538,11,0,1,False,False
2068_AWCM_SP126,34.0,256.0,1.0,5.0,106.0,202.0,5.518257128995433,7.036438555936074,0.8949425034246576,5.681824682268993,11.281814686930783,5.278108552869719,4.856910109852925,31.55685,-5.81574,5,8,7,False,False
2069_AWCM_SP126,46.0,221.0,3.0,0.0,152.0,179.0,5.800212296803654,6.649571962328768,1.346616098173516,6.427938195888189,11.89301989954338,6.0206078516029775,5.556211710620514,31.83765,-3.72292,9,5,2,False,False
2070_AWCM_SP126,82.0,232.0,16.0,4.0,137.0,174.0,6.112963993150686,6.267112578767123,1.9843875102739723,7.109124618816596,12.85581102739726,6.659050824253484,6.411111676175722,36.79154,-5.53441,32,5,5,False,False
2071_AWCM_SP126,54.0,241.0,0.0,2.0,116.0,192.0,5.701641816210047,6.81788580936073,1.1523869737442922,6.003381096073348,11.60313213127854,5.659116363684914,5.192866773536926,29.30696,-5.60227,7,3,3,False,False
2072_AWCM_SP126,54.0,263.0,10.0,0.0,104.0,205.0,5.780775026255707,6.866361232876712,1.280171339041096,6.224150887090137,11.788366647313298,5.797096427414351,5.422806501968856,35.4112,-2.26556,24,3,0,False,False
2073_AWCM_SP126,65.0,221.0,1.0,3.0,143.0,166.0,5.737040891552511,6.466326923515982,1.406332520547945,6.470757508361351,12.07562414954338,6.154391353034928,5.823998713604336,31.7238,-7.7151,5,5,2,False,False
2074_AWCM_SP126,51.0,253.0,0.0,0.0,106.0,185.0,5.699429067351598,6.9954644908675805,1.0453187751141553,5.973785493442243,11.391208482876712,5.634246116030067,5.343017101866297,30.94902,-3.33239,5,1,6,False,False
2075_AWCM_SP126,51.0,243.0,0.0,3.0,121.0,192.0,5.61366821347032,6.8240027773972605,1.0850062796803654,6.089623548438187,11.556344345890412,5.742748644113701,5.337600577439626,28.99155,-7.28488,5,4,12,False,False
2076_AWCM_SP126,81.0,241.0,6.0,6.0,122.0,200.0,6.678605760273974,7.253313921232876,1.603588363013699,7.233267476259354,11.53805574453552,6.888504178291071,6.39029111420542,33.13886,-10.6227,14,7,10,True,True
2077_AWCM_SP126,59.0,258.0,8.0,0.0,106.0,200.0,5.950711334474886,6.902033898401826,1.3582163139269408,6.422000255142889,11.765721293378991,6.034580390680325,5.615236776734554,34.43528,-2.48605,14,2,6,False,False
2078_AWCM_SP126,50.0,245.0,1.0,0.0,122.0,194.0,5.730956560502284,6.837294284246576,1.182590030821918,6.128418435930932,11.634223501141554,5.75300696877707,5.418149921487331,31.80519,-3.56001,12,3,12,False,False
2079_AWCM_SP126,52.0,236.0,0.0,14.0,132.0,186.0,6.475005300228311,7.483645581050228,1.2348981187214612,7.144951239065691,10.99479093721461,6.7782284445784375,6.104473607910768,32.81636,-9.7181,6,15,3,False,False
2080_AWCM_SP126,65.0,243.0,1.0,6.0,119.0,194.0,6.096911310502284,7.034948858447489,1.3151896392694065,6.801649144367969,11.542939367030966,6.480057960124878,5.911099457700794,30.80224,-10.93458,9,5,3,False,False
2081_AWCM_SP126,65.0,248.0,2.0,26.0,121.0,189.0,7.107810799086758,8.086995773972603,1.2975179349315067,7.805393914934562,10.487225070776256,7.459631285966209,6.938547420296785,33.48708,-9.56331,6,8,11,False,False
2082_AWCM_SP126,51.0,255.0,1.0,8.0,112.0,190.0,6.221842460045663,7.372470568493151,1.179119776255708,6.771417042027267,11.136397092465756,6.41186394399349,6.007277023578854,32.31388,-5.83024,8,6,6,False,False
2083_AWCM_SP126,60.0,271.0,0.0,14.0,101.0,199.0,6.450004856164383,7.7027232933789955,1.100656988584475,6.89153041655215,10.751309121004564,6.572419817278512,6.036630449108951,28.99643,-8.7787,7,10,0,False,False
2084_AWCM_SP126,55.0,248.0,0.0,2.0,121.0,196.0,5.732542420091325,6.8942079086758,1.1252811232876714,5.992220674461552,11.527533433515485,5.638103745653887,5.176641822994827,30.51391,-5.3814,6,2,12,False,False
2085_AWCM_SP126,52.0,247.0,0.0,9.0,115.0,199.0,5.778076946347032,7.021004172374429,1.0905628070776254,6.302516257420061,11.40304866780822,5.933151272694676,5.469926266426108,29.54765,-8.17329,5,4,12,False,False
2086_AWCM_SP126,85.0,230.0,2.0,0.0,142.0,191.0,5.7591291198630135,6.318481989726028,1.5823427168949775,6.359822573690266,12.405556313926938,5.953358257574051,5.609032667331221,32.89139,-3.59393,6,2,5,False,False
2087_AWCM_SP126,31.0,237.0,0.0,2.0,104.0,191.0,5.469924714611873,6.967979151826484,0.8883785684931507,5.790754590827169,11.30683242237443,5.4320626350916745,5.050215803926709,29.52162,-4.67556,4,6,12,False,False
2088_AWCM_SP126,59.0,259.0,2.0,6.0,118.0,191.0,6.259591850456621,7.346620331050229,1.2480638367579908,6.638368915726039,11.246818512067396,6.224979528110067,5.930402243180492,32.88989,-8.05791,16,7,6,False,False
2089_AWCM_SP126,42.0,263.0,0.0,6.0,108.0,190.0,5.677710962328767,7.124086212328767,0.9381417876712328,5.993108751734907,11.1985726130137,5.610521483435479,5.076816122654916,28.91655,-5.79919,3,6,6,False,False
2090_AWCM_SP126,71.0,250.0,0.0,9.0,120.0,211.0,6.538140888127854,7.308871434931507,1.4801614406392696,7.079830352420156,11.422181993150687,6.704428368748882,6.227836011202944,30.17143,-5.98271,21,7,4,False,False
2091_AWCM_SP126,44.0,234.0,1.0,19.0,128.0,189.0,5.980549175799087,7.177836356164384,1.0993408025114153,6.812865504356234,11.218132429223743,6.482702307602274,6.023907530917868,31.37381,-14.0196,4,21,3,False,False
