cy_id,F1,F2,F3,F4,F5,cluster,is_centroid
2049_1_1,12.477182110730595,173.0,141.0,12.479410955479452,5.725690567351597,0,False
2050_1_1,13.12290574657534,179.0,143.0,13.048093760273971,5.165488378995434,1,False
2051_1_1,12.941144270547946,195.0,141.0,12.862068141552513,5.432765805936072,1,False
2052_1_1,14.07412973173516,159.0,163.0,13.88083591757741,5.984301525114156,0,False
2053_1_1,11.956641210045662,195.0,123.0,11.91675953995434,5.893630021689498,3,False
2054_1_1,13.241991807077625,152.0,151.0,13.204230023972602,5.558500747716895,0,False
2055_1_1,13.23942439269406,187.0,145.0,13.095117971461187,5.845151555936074,1,False
2056_1_1,11.606250702054794,180.0,124.0,11.476823493852455,6.010569512557077,2,True
2057_1_1,12.52757649086758,163.0,157.0,12.410809301369865,5.876849593607306,0,False
2058_1_1,13.079083837899544,179.0,146.0,12.958353511415526,5.837224739726026,1,False
2059_1_1,11.611174180365296,182.0,142.0,11.096424574200917,7.224593859589041,1,False
2060_1_1,12.068379619863014,180.0,140.0,11.6728945753643,6.349680765981735,1,False
2061_1_1,11.91295162785388,193.0,136.0,11.809048649543378,6.758108453196347,1,False
2062_1_1,11.84243301940639,215.0,124.0,11.741706638127852,6.141888619863014,3,False
2063_1_1,12.02207651027397,192.0,128.0,11.837444184931506,6.330262552511416,3,False
2064_1_1,11.678542238584477,172.0,150.0,11.63376459471767,6.377174616438356,0,False
2065_1_1,13.014124751141551,178.0,140.0,12.888100365296804,5.911827705479452,1,False
2066_1_1,11.317653963470317,202.0,107.0,11.067770984018264,6.302910716894977,3,False
2067_1_1,12.289260875570776,177.0,146.0,12.32323832762557,6.305950916666666,1,False
2068_1_1,11.442849078767123,185.0,119.0,11.45454894125683,6.14040448630137,2,False
2069_1_1,12.351444503424656,176.0,135.0,12.287918194063929,5.716215655251141,2,False
2070_1_1,11.506978643835616,182.0,131.0,11.519907716894975,6.557304196347033,2,False
2071_1_1,12.683803976027397,178.0,136.0,12.322793841324202,6.110261345890411,1,False
2072_1_1,12.006289557077624,194.0,123.0,11.903528666894353,5.483382857305937,3,False
2073_1_1,12.100242578767125,198.0,147.0,11.981496744292237,7.364491543378995,1,False
2074_1_1,12.991236441780822,181.0,133.0,12.759363552511417,6.325669232876713,2,False
2075_1_1,11.862488380136984,198.0,108.0,11.779935010273972,5.415469455479451,3,False
2076_1_1,13.580228787671231,161.0,157.0,13.516354250910746,6.130012878995434,0,False
2077_1_1,12.51959158219178,180.0,124.0,12.451478469178085,5.536701154109589,2,False
2078_1_1,13.681474674657537,157.0,173.0,13.575894175799087,5.943452694063926,0,False
2079_1_1,12.93359596347032,186.0,144.0,12.870455651826482,5.271748549086758,1,False
2080_1_1,11.000683101598172,206.0,118.0,10.696464755236793,6.905494882420092,3,False
2081_1_1,10.670325761415526,196.0,127.0,10.720000884703197,6.652560688356163,3,False
2082_1_1,12.979594166666669,189.0,153.0,12.883659848173515,6.587457594748859,1,False
2083_1_1,11.56125564954338,211.0,116.0,11.443994247716894,6.612307343607306,3,False
2084_1_1,11.402252424657537,181.0,129.0,11.026000538479051,6.890557528538812,2,False
2085_1_1,11.92203792808219,179.0,142.0,11.851852291095891,6.636733896118722,1,False
2086_1_1,14.606731995433792,150.0,172.0,14.48658476826484,5.51170676369863,0,False
2087_1_1,14.309969099315069,157.0,156.0,14.200823691780824,5.160635618721461,0,False
2088_1_1,12.501660128995436,169.0,158.0,12.379591922814209,5.823031099315069,0,False
2089_1_1,12.215154589041097,188.0,139.0,12.281447406392694,6.253190700913242,1,True
2090_1_1,11.733480243150684,182.0,140.0,11.85526044863014,5.923189507990868,1,False
2091_1_1,12.57684912214612,189.0,140.0,12.383520210045662,6.490299997716895,1,False
2092_1_1,12.074118974885844,167.0,156.0,12.113265931238615,6.24307249543379,0,False
2093_1_1,13.25763177283105,171.0,148.0,13.14067989041096,5.786733394977168,0,False
2094_1_1,13.718448251141554,169.0,148.0,13.641542380136986,5.446266046803654,0,False
2095_1_1,12.233758242009133,160.0,141.0,12.082133365296803,5.896974728310503,0,False
2096_1_1,13.809972555936072,158.0,152.0,13.719456501593807,5.177511665525114,0,False
2097_1_1,13.266616679223745,174.0,158.0,13.245747005707765,6.536417154109589,0,False
2098_1_1,12.549137336757992,185.0,126.0,12.466769961187214,5.638047223744293,2,False
2099_1_1,13.599028550228311,176.0,157.0,13.426107737442925,5.501431764840183,0,False
